,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2001.11.01
Glass Type,Code,,Refractive Index,,,,,,,,,,,,Abbe Number,,,Dispersions,,Partial Dispersions,,,,,,Relative Partial Dispersions,,,,,,"Deviation of Relative Partial Dispersions delta P from ""Normal""",,Constants of Dispersion Formula,,,,,,,,,,Specific Gravity,,,,,,,,,,Coloring ,,Internal Transmittance (T 10mm),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bubble Quality Group,Notes,
,Code(d),Code(e),nA',nr,nC,nC',nHe-Ne,nD,nd,ne,nF,nF',ng,nh,vd,ve,vg,nF-nC,nF'-nC',nd-nC,ne-nd,ng-nd,ng-nF,nd-nC',nF'-nd,"Pd,C","Pe,d","Pg,F","P'd,C'","P'e,d","P'g,F'","delta Pg,d","delta Pg,F",A0,A1,A2,A3,A4,A5,A6,Expansion Coefficients,Transformation Temperature,Yield Point,,Water Resistance (Powder),Acid Resistance (Powder),Acid Resistance (Surface),Knoop Hardness,Abrasion,Photoelastic Constant,Young's Modulus,Rigidity Modulus,Poisson's Ratio,lambda80/lambda5,lambda70/lambda5,lambda80/lambda5,280nm,290nm,300nm,310nm,320nm,330nm,340nm,350nm,360nm,370nm,380nm,390nm,400nm,420nm,440nm,460nm,480nm,500nm,550nm,600nm,650nm,700nm,800nm,900nm,1000nm,1200nm,1400nm,1600nm,1800nm,2000nm,2200nm,2400nm,,,
E-FK5,487704,489702,1.48282 ,1.48410 ,1.48535 ,1.48569 ,1.48601 ,1.48743 ,1.48749 ,1.48914 ,1.49227 ,1.49266 ,1.49593 ,1.49894 ,70.41 ,70.22 ,57.75 ,0.006924 ,0.006966 ,0.002144 ,0.001653 ,0.008442 ,0.003662 ,0.001800 ,0.005166 ,0.3096 ,0.2387 ,0.5289 ,0.2584 ,0.2373 ,0.4703 ,0.0020 ,0.0027 ,2.18876210E+00,-9.55720070E-03,8.99152320E-03,1.45605160E-04,-5.28430670E-06,3.45880100E-07,0.00000000E+00,101,470,557,2.45 ,5,4,,,,,,,,31/28,,304/274,0.23,0.57,0.82,0.928,0.970,0.988,0.996,0.997,0.981,0.984,0.983,0.986,0.988,0.989,0.990,0.992,0.993,0.996,0.998,0.999,0.999,0.999,,,,,,,,,,,1,CY,TEST POT DATA
E-FK01,497816,498812,1.49301 ,1.49408 ,1.49514 ,1.49544 ,1.49572 ,1.49695 ,1.49700 ,1.49845 ,1.50123 ,1.50158 ,1.50450 ,1.50719 ,81.64 ,81.22 ,66.25 ,0.006088 ,0.006137 ,0.001857 ,0.001454 ,0.007502 ,0.003271 ,0.001561 ,0.004576 ,0.3050 ,0.2388 ,0.5373 ,0.2544 ,0.2369 ,0.4768 ,0.0389 ,0.0299 ,2.22250469E+00,-8.50804282E-03,5.66678700E-03,8.41849050E-04,-9.80414100E-05,4.91868528E-06,0.00000000E+00,153,468,498,3.64 ,2,3,,340(3),504,,,,,34/29,,336/290,0.01,0.06,0.20,0.41,0.63,0.80,0.900,0.953,0.980,0.992,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.996,0.995,0.988,0.991,1,YB,TEST POT DATA
E-FKH1,498825,499821,1.49388 ,1.49493 ,1.49598 ,1.49627 ,1.49655 ,1.49777 ,1.49782 ,1.49926 ,1.50201 ,1.50236 ,1.50526 ,1.50794 ,82.52 ,82.09 ,66.87 ,0.006033 ,0.006082 ,0.001840 ,0.001440 ,0.007445 ,0.003252 ,0.001547 ,0.004535 ,0.3050 ,0.2387 ,0.5390 ,0.2544 ,0.2368 ,0.4785 ,0.0426 ,0.0331 ,2.22025427E+00,-5.13496818E-03,8.41587708E-03,5.42635530E-05,7.61288219E-06,-4.89857441E-07,0.00000000E+00,153,482,512,3.87 ,,,,,,,,,,35/30,,342/301,,0.01,0.06,0.17,0.38,0.61,0.80,0.909,0.968,0.994,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.994,0.991,1,AY,TEST POT DATA
E-PKH1,519700,520698,1.51364 ,1.51499 ,1.51631 ,1.51668 ,1.51702 ,1.51853 ,1.51860 ,1.52037 ,1.52373 ,1.52414 ,1.52767 ,1.53090 ,69.98 ,69.76 ,57.20 ,0.007411 ,0.007460 ,0.002286 ,0.001769 ,0.009066 ,0.003941 ,0.001919 ,0.005541 ,0.3085 ,0.2387 ,0.5318 ,0.2572 ,0.2371 ,0.4725 ,0.0052 ,0.0049 ,2.27969929E+00,-9.67939699E-03,9.83301659E-03,1.65890669E-04,-3.86343967E-06,1.39369901E-07,0.00000000E+00,78,574,620,2.60 ,1,1,,536(5),188,,73.9,30.5,,,,332/286,0.02,,0.23,,0.64,,0.88,,0.940,,0.973,,0.990,0.992,0.991,0.990,0.993,0.995,0.999,0.999,0.999,0.999,,,,,,,,,,,1,AY,TEST POT DATA
E-PSK02,618634,620631,1.61166 ,1.61335 ,1.61504 ,1.61551 ,1.61595 ,1.61791 ,1.61800 ,1.62033 ,1.62479 ,1.62534 ,1.63010 ,1.63451 ,63.37 ,63.06 ,51.08 ,0.009752 ,0.009837 ,0.002965 ,0.002325 ,0.012099 ,0.005312 ,0.002493 ,0.007344 ,0.3040 ,0.2384 ,0.5447 ,0.2534 ,0.2364 ,0.4834 ,0.0084 ,0.0067 ,2.57651436E+00,-8.17396399E-03,1.52706397E-02,-1.17385023E-04,4.69952008E-05,-2.25968944E-06,0.00000000E+00,110,617,652,3.55 ,2,5,,355(4),341,,,,,38/32,,369/323,,,,,0.01,0.06,0.20,0.41,0.63,0.79,0.89,0.948,0.977,0.996,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.987,0.963,0.88,0.77,1,YB,TEST POT DATA
E-PSK03,603655,605652,1.59696 ,1.59858 ,1.60019 ,1.60064 ,1.60106 ,1.60292 ,1.60300 ,1.60520 ,1.60940 ,1.60992 ,1.61438 ,1.61850 ,65.47 ,65.17 ,53.00 ,0.009211 ,0.009286 ,0.002813 ,0.002197 ,0.011378 ,0.004980 ,0.002365 ,0.006921 ,0.3054 ,0.2385 ,0.5407 ,0.2547 ,0.2366 ,0.4800 ,0.0075 ,0.0062 ,2.53132391E+00,-8.65579054E-03,1.42829487E-02,-1.15110582E-04,4.15511576E-05,-1.98698360E-06,0.00000000E+00,105,609,641,3.52 ,1,5,,316(3),398,,,,,37/32,,362/313,,,0.02,0.07,0.20,0.38,0.58,0.74,0.85,0.924,0.966,0.985,0.996,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.998,0.999,0.999,0.999,0.999,0.995,0.996,0.974,0.954,0.88,0.83,1,Y,
E-BK7,517641,519639,1.51144 ,1.51289 ,1.51432 ,1.51472 ,1.51509 ,1.51673 ,1.51680 ,1.51872 ,1.52238 ,1.52284 ,1.52670 ,1.53026 ,64.10 ,63.89 ,52.19 ,0.008062 ,0.008119 ,0.002478 ,0.001923 ,0.009903 ,0.004319 ,0.002081 ,0.006038 ,0.3074 ,0.2385 ,0.5357 ,0.2563 ,0.2369 ,0.4760 ,-0.0023 ,-0.0011 ,2.27119200E+00,-9.66126763E-03,1.10306969E-02,7.00379964E-05,1.39658544E-05,-7.62560454E-07,0.00000000E+00,92,564,611,2.52 ,,,,,,,,,,33/29,,321/286,0.01,0.08,0.30,0.58,0.78,0.89,0.952,0.979,0.993,0.998,0.998,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.989,0.996,0.969,0.932,0.83,0.77,1,T,TEMPORARY DATA
