,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Glass Type,Code,,,,,,,,Refractive Indices,,,,,,,,,Abbe - Number,,,,,,,,Constants of Disperison Formula,,,,,,,,,,,,,,Relative Partial Dispersions,,,,,,,,,,,"Deviation of Relative Partial Dispersions ∆P from the ""Normal Line""",,,,,,,,,,,Chemical Properties,,,,,,,,,,,Thermal Properties,,,,,,Mechanical Properties,,,,,,,Electrical Properties,,,,,Temperature Coefficients of Refractive Index (10-6/K at 632.8nm),,,,,,,,,,Stress-Optical Coefficient,,Other Properties,,,,,,,,,Internal Transmittance  λ (nm),,,,,,,,,,,,,,,,,,,,,Internal Transmittance λ (nm),,,,,,,,,,,,,,,,,Internal Transmittance λ (nm),,,,,,,,,,,,,,,,,,,Internal Transmittance λ (nm),,,,,,,,,,,,,Type,Melting Frequency,Production Method,Price Level
,,,nt,ns,nA',nr,nc,nc',nHe-Ne,nD,nd,ne,nF,nF',ng,nh,ni,νd,νe,nF-nC,nF'-nC',A0,A0pow,A1,A1pow,A2,A2pow,A3,A3pow,A4,A4pow,A5,A5pow,"PA',t","Pr,A'","PC,r","Pd,C","Pe,d","PF,e","Pg,F","Ph,g",Pi'h,"P'A',t","P'r,A'","P'c',r","P'd,c''","P'e,d","P'F',e","P'g,F","P'h,g","P'i,h","∆PC,t","∆PC,A'","∆Pg,d","∆Pg,F","∆Pi,g",DW,,DA,,TBlue ,,DNaOH,,DSTPP,,D0,,Tg,Ts,T1014.5,T1013,T107.6,a-30/+70C°,a100/300C°,λ,Cp,Hk,,FA,E,G,μ,sb,er,rv20°C,rv pow1,rv200°C,rv pow2,(∆n/∆T)rel.,,,,,,(∆n/∆T)abs.,,,,,,B(10-12/Pa),Specific Gravity,Bubble,Color,Transmittance at 5mm,,,,,,,,,,,,,,,,,,,Transmittance at 5mm,,,,,,,,,,,,,,,,,,,Transmittance at 10mm,,,,,,,,,,,,,,,,,,,Transmittance at 10mm,,,,,,,,,,,,,,,,,,,Schott,OHARA,MA: Highest           A: Higher,DP: Direct press           RP: Reheat press,
,,,1014(nm),852.1 (nm),768.19 (nm),706.5 (nm),656.27 (nm),643.8 (nm),632.8 (nm),589.3 (nm),587.56 (nm),546.07 (nm),486.1 (nm),479.99 (nm),435.83 (nm),404.66 (nm),365.01 (nm),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,WT %,Class,WT %,Class,h,Class,mg/(cm²·15H),Class,mg/(cm²·h),Class,10ˉ³mg/(cm²·h),Class,C°,C°,C°,C°,C°,10-7/K,10-7/K,W/(m•K),kJ/(kg•K),,Class,,GPa,GPa,,Mpa,,Ω•cm,,Ω•cm,,-40/-20,-20/  0,0/+20,+20/+40,+40/+60,+60/+80,-40/-20,-20/  0,0/+20,+20/+40,+40/+60,+60/+80,, d,,λ80/λ5,1550,1500,1400,1300,1200,1100,1060,1050,1000,950,900,850,830,800,780,750,700,650,600,550,500,480,460,440,420,400,390,380,370,360,350,340,330,320,310,300,290,280,1550,500,1400,1300,1200,1100,1060,1050,1000,950,900,850,830,800,780,750,700,650,600,550,500,480,460,440,420,400,390,380,370,360,350,340,330,320,310,300,290,280,,,B: Low                   C: Very low,MO: Molded,
,FC5           ,487-704,1.47913,1.48139,1.48283,1.48411,1.48535,1.48569,1.48601,1.48743,1.48749,1.48914,1.49227,1.49266,1.49594,1.49896,1.50405,70.44,70.24,0.006921,0.006964,2.1894054,,-9.9044908,-3,8.6403370,-3,2.2263067,-4,-1.2291942,-5,5.9386349,-7,0.5347,0.1845,0.1796,0.3091,0.2387,0.4521,0.5305,0.4360,0.7356,0.5314,0.1833,0.2278,0.2579,0.2372,0.5049,0.4717,0.4332,0.7311,0.0238,0.0017,0.0101,0.0091,0.0537, 0.54 ,5,5,5,5,5,0.15,3,0.02,2,7.5,3,475,555,461,479,592,94,85,1.010,0.745,525,5,110,58.80,23.60,0.25,,5.6,1.0,15,4.1,15,-1.4,-1.5,-1.5,-1.5,-1.5,,-3.4,-3.2,-3.0,-2.8,-2.6,,2.95,2.45,,31/27,0.996,0.995,0.986,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.997,0.998,0.997,0.996,0.992,0.985,0.968,0.932,0.840,0.660,0.350,0.992,0.991,0.971,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.998,0.999,0.999,0.999,0.999,0.998,0.997,0.997,0.998,0.998,0.993,0.996,0.995,0.992,0.984,0.970,0.937,0.868,0.710,0.430,0.120,N-FK5,S-FSL 5,MA,DP,29
,FCD1          ,497-816,1.49008,1.49182,1.49300,1.49408,1.49514,1.49543,1.49571,1.49694,1.49700,1.49845,1.50123,1.50157,1.50451,1.50721,1.51175,81.61,81.20,0.006090,0.006139,2.2181132,,-5.7994270,-3,8.3470679,-3,6.5046523,-5,8.5142186,-6,-5.8852269,-7,0.4800,0.1760,0.1745,0.3054,0.2386,0.4560,0.5387,0.4437,0.7453,0.4763,0.1746,0.2214,0.2547,0.2368,0.5086,0.4783,0.4402,0.7394,-0.0967,-0.0255,0.0476,0.0374,0.1700, 0.07 ,1,0.47,3,10,4,0.64,5,0.82,5,39.7,5,455,485,,,,133,155,0.837,0.636,345,3,410,79.60,31.10,0.28,,9.3,2.0,15,1.5,12,-5.2,-5.4,-5.6,-5.8,-6.0,-6.1,-7.2,-7.2,-7.1,-7.1,-7.1,-7.1,0.74,3.70,,34/29,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.996,0.989,0.975,0.944,0.890,0.790,0.660,0.520,0.410,0.380,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.992,0.978,0.950,0.890,0.780,0.620,0.430,0.270,0.170,0.140,              ,S-FPL51,MA,DP,152
,FCD10,457-903,1.45071,1.45218,1.45317,1.45406,1.45495,1.45520,1.45543,1.45645,1.45650,1.45771,1.46001,1.46029,1.46271,1.46493,1.46864,90.27,89.84,0.005057,0.005095,2.1032490,,-5.0247988,-3,6.5323077,-3,1.3078405,-4,-6.3652072,-6,1.9254745,-7,0.4866,0.1771,0.1753,0.3063,0.2388,0.4549,0.5346,0.4382,0.7336,0.4830,0.1758,0.2225,0.2555,0.2371,0.5074,0.4748,0.4349,0.7281,-0.1286,-0.0340,0.0624,0.0489,0.2293, 0.04 ,1,0.27,2,45,2,1.70,5,0.91,5,51.5,5,440,470,,,,142,159,0.733,0.608,360,4,470,71.40,27.50,0.30,46,9.1,8.5,12,6.1,7,-5.1,-5.6,-6.0,-6.4,-6.8,-7.2,-7.1,-7.3,-7.5,-7.7,-7.9,-8.2,0.66,3.60,,33/29,0.999,0.999,0.999,0.999,0.999,0.999,0.998,0.998,0.998,0.998,0.998,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.998,0.998,0.998,0.999,0.999,0.998,0.996,0.991,0.980,0.956,0.905,0.820,0.680,0.510,0.320,0.170,0.999,0.999,0.999,0.998,0.998,0.998,0.997,0.996,0.997,0.997,0.997,0.998,0.998,0.998,0.998,0.998,0.998,0.998,0.998,0.999,0.999,0.998,0.997,0.996,0.996,0.998,0.998,0.997,0.992,0.982,0.960,0.914,0.820,0.670,0.470,0.260,0.100,0.030,,S-FPL52,B ,RP,247
,PCD4          ,618-634,1.60697,1.60976,1.61163,1.61334,1.61503,1.61550,1.61594,1.61791,1.61800,1.62032,1.62478,1.62533,1.63004,1.63439,1.64180,63.39,63.11,0.009748,0.009829,2.5807045,,-1.0957538,-2,1.2689430,-2,6.6387812,-4,-6.4849664,-5,3.4787863,-6,0.4784,0.1747,0.1735,0.3046,0.2387,0.4567,0.5400,0.4461,0.7601,0.4745,0.1733,0.2202,0.2541,0.2367,0.5092,0.4793,0.4425,0.7539,-0.0154,-0.0055,0.0081,0.0059,0.0260, 0.01 ,1,1.86,5,,,,,,,,,605,650,,,,92,109,0.678,0.557,445,4,310,72.90,28.10,0.29,,9.0,0.9,15,0.7,14,-2.4,-2.6,-2.6,-2.6,-2.6,-2.5,-4.6,-4.4,-4.2,-4.0,-3.8,-3.6,1.31,3.52,,36/26,0.996,0.996,0.997,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.994,0.992,0.987,0.984,0.973,0.956,0.930,0.880,0.820,0.730,0.630,0.540,0.450,0.380,0.993,0.992,0.994,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.998,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.997,0.997,0.989,0.985,0.975,0.968,0.946,0.915,0.860,0.780,0.670,0.530,0.400,0.290,0.210,0.150,              ,S-PHM52,C ,RP,67
,BSC7          ,517-642,1.50733,1.50980,1.51143,1.51289,1.51432,1.51472,1.51509,1.51673,1.51680,1.51872,1.52237,1.52282,1.52667,1.53022,1.53622,64.20,64.00,0.008050,0.008105,2.2702566,,-9.1988101,-3,1.1609706,-2,-7.6123911,-5,2.8558727,-5,-1.2566486,-6,0.5089,0.1813,0.1779,0.3080,0.2387,0.4533,0.5342,0.4408,0.7455,0.5055,0.1801,0.2257,0.2569,0.2371,0.5060,0.4748,0.4379,0.7404,0.0223,0.0044,0.0007,0.0015,0.0132, 0.21 ,3,0.09,1,> 70 ,1,0.06,2,< 0.01 ,1,< 0.3 ,1,565,630,546,571,724,75,89,1.210,0.749,595,6,100,79.20,32.70,0.21,106,5.8,6.0,14,2.5,11,2.1,2.1,2.2,2.3,2.3,2.4,0.1,0.4,0.7,0.9,1.2,1.4,2.82,2.52,,33/29,0.994,0.996,0.987,0.997,0.998,0.998,0.998,0.998,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.998,0.999,0.999,0.998,0.997,0.997,0.994,0.989,0.977,0.952,0.900,0.800,0.610,0.360,0.140,0.989,0.993,0.974,0.994,0.995,0.995,0.996,0.996,0.997,0.997,0.998,0.998,0.999,0.999,0.999,0.999,0.999,0.998,0.999,0.999,0.998,0.998,0.998,0.997,0.998,0.998,0.997,0.993,0.993,0.988,0.977,0.954,0.907,0.810,0.630,0.380,0.130,0.020,N-BK7,S-BSL 7,MA,DP,10
,E-C3          ,518-590,1.50839,1.51085,1.51252,1.51404,1.51556,1.51598,1.51638,1.51815,1.51823,1.52033,1.52435,1.52485,1.52913,1.53310,1.53989,58.96,58.69,0.008789,0.008866,2.2725452,,-8.4104910,-3,1.1306843,-2,3.7782297,-4,-2.6903423,-5,1.5976489,-6,0.4700,0.1735,0.1727,0.3038,0.2385,0.4577,0.5441,0.4518,0.7726,0.4659,0.1720,0.2190,0.2533,0.2364,0.5103,0.4829,0.4479,0.7659,-0.0051,-0.0022,0.0029,0.0020,0.0049, 0.09 ,2,0.12,1,> 45 ,1,0.03,2,< 0.01 ,1,< 0.3 ,1,510,570,,,,99,121,,,505,5,160,,,,,,,,,,-0.1,0.0,0.0,0.0,-0.1,-0.3,-2.2,-1.8,-1.5,-1.4,-1.3,-1.3,100.00,2.53,,33/29,0.995,0.996,0.998,0.998,0.998,0.998,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.998,0.997,0.994,0.990,0.980,0.957,0.900,0.780,0.550,0.270,0.080,0.991,0.991,0.996,0.996,0.997,0.997,0.998,0.998,0.998,0.998,0.998,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.998,0.996,0.994,0.989,0.979,0.960,0.917,0.820,0.610,0.310,0.080,0.010,,S-NSL 3,B ,RP,30
,BAC4          ,569-560,1.55755,1.56033,1.56225,1.56400,1.56575,1.56624,1.56670,1.56874,1.56883,1.57125,1.57590,1.57648,1.58147,1.58611,1.59402,56.04,55.78,0.010150,0.010242,2.4196645,,-8.3329314,-3,1.5397390,-2,-1.7391654,-4,6.2183220,-5,-3.0621310,-6,0.4628,0.1729,0.1723,0.3032,0.2382,0.4586,0.5484,0.4575,0.7793,0.4586,0.1713,0.2186,0.2527,0.2361,0.5112,0.4867,0.4534,0.7722,0.0003,0.0003,0.0012,0.0011,-0.0086, 0.02 ,1,0.17,1,> 70 ,1,0.03,2,< 0.01 ,1,0.3,1,590,640,568,594,771,54,65,1.190,0.703,615,6,95,80.60,32.20,0.25,122,7.0,1.0,15,2.0,11,6.6,6.7,6.8,7.0,7.3,7.5,4.5,4.9,5.3,5.7,6.1,6.5,3.22,2.85,,35/30,0.997,0.997,0.994,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.998,0.998,0.998,0.998,0.998,0.997,0.996,0.995,0.995,0.993,0.990,0.984,0.977,0.959,0.927,0.870,0.770,0.620,0.430,0.240,0.100,0.060,0.995,0.995,0.987,0.998,0.998,0.998,0.998,0.998,0.998,0.998,0.998,0.998,0.998,0.998,0.998,0.997,0.997,0.996,0.996,0.997,0.996,0.995,0.993,0.991,0.990,0.985,0.980,0.968,0.954,0.920,0.859,0.750,0.590,0.390,0.180,0.060,0.010,0.000,N-BAK4,S-BAL14,A ,DP,14
,BACD2         ,607-567,1.59560,1.59848,1.60047,1.60231,1.60414,1.60466,1.60514,1.60729,1.60738,1.60994,1.61485,1.61547,1.62072,1.62561,1.63394,56.71,56.43,0.010710,0.010809,2.5393255,,-8.7207883,-3,1.5909566,-2,8.8163036,-5,2.5876593,-5,-1.1733523,-6,0.4549,0.1714,0.1714,0.3027,0.2383,0.4590,0.5480,0.4563,0.7779,0.4507,0.1698,0.2175,0.2523,0.2361,0.5115,0.4862,0.4521,0.7708,-0.0132,-0.0029,0.0029,0.0019,-0.0051, 0.09 ,2,3.00,3,25,3,0.09,2,0.02,2,1.5,2,645,700,,,,63,66,,,570,6,130,77.00,30.30,0.27,,,,,,,4.0,3.9,4.0,4.0,4.2,4.3,1.8,2.1,2.4,2.6,2.9,3.2,2.29,3.53,,35/30,0.997,0.997,0.994,0.998,0.998,0.998,0.998,0.998,0.998,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.999,0.997,0.997,0.996,0.994,0.991,0.984,0.975,0.953,0.910,0.840,0.710,0.520,0.500,0.030,0.000,0.000,0.994,0.995,0.988,0.997,0.997,0.997,0.997,0.997,0.997,0.998,0.998,0.998,0.998,0.999,0.999,0.999,0.997,0.997,0.999,0.999,0.999,0.997,0.994,0.994,0.992,0.987,0.982,0.969,0.951,0.908,0.830,0.700,0.510,0.270,0.250,0.000,0.000,0.000,N-SK2,S-BSM 2,C ,RP,32
