,,,,REFRACTIVE INDICES,,,,REFRACTIVE INDICES,,,,REFRACTIVE INDICES,,,,REFRACTIVE INDICES,,,,REFRACTIVE INDICES,,,,ABBE,,ABBE,,DISPERSIONS,,,PARTIAL DISPERSIONS,,,,,,PARTIAL DISPERSIONS,,,,,,RELATIVE PARTIAL DISPERSIONS,,,,,,RELATIVE PARTIAL DISPERSIONS,,,,,,Deviation of Relative Partial Dispesions,,,,,CONSTANTS  OF DISPERSION FORMULA (Sellmeier),,,,,,CONSTANTS  OF DISPERSION FORMULA (Cauchy),,,,,,COLORING,,,INTERNAL  TRANSMISSION COLORING,,CCI,,,INTERNAL  TRANSMISSION  (τ／10mm Thick) ,,,,,,,,,INTERNAL  TRANSMISSION  (τ／10mm Thick) ,,,,,,,,INTERNAL  TRANSMISSION  (τ／10mm Thick) ,,,,,,,,INTERNAL  TRANSMISSION  (τ／10mm Thick) ,,,,,,,dn/dT  relative   (10-6 / ℃),,,,,,dn/dT  relative   (10-6 / ℃),,,,,,dn/dT  relative   (10-6 / ℃),,,,,,dn/dT  relative   (10-6 / ℃),,,,,,dn/dT  relative   (10-6 / ℃),,,,,,dn/dT  relative   (10-6 / ℃),,,,,,dn/dT  relative   (10-6 / ℃),,,,,,Constants of dn/dT,,,,,,Thermal Properties,,,,,CTEα(10-7/℃),,Conductivity,Mechanical  Properties,,,,,,,Chemical  Properties,,,,,,Bubble Grp,Spec. Gravity
,Glass ,Code(d),Code(e),n2325,n1970,n1530,n1129,nt,ns,nA',nr,nC,nC',nHe-Ne,nD,nd,ne,nF,nF',nHe-Cd,ng,nh,ni,νd,νe,νd,νe,nF-nC,nF-nC,nF'-nC',nC-nt,nC-nA',nd-nC,ne-nC,ng-nd,ng-nF,nh-ng,ni-ng,nC'-nt,ne-nC',nF'-ne,ni-nF',"θC,t","θC,A'","θd,C","θe,C","θg,d","θg,F","θh,g","θi,g","θ'C',t","θ'e,C'","θ'F',e","θ'i,F'","ΔθC,t","ΔθC,A'","Δθg,d","Δθg,F","Δθi,g",A1,A2,A3,B1,B2,B3,A0,A1,A2,A3,A4,A5,λ80,(λ70),λ5,λ0.80,λ0.05,B,G,R,280,290,300,310,320,330,340,350,360,370,380,390,400,420,440,460,480,500,550,600,650,700,800,900,1000,1200,1400,1600,1800,2000,2200,2400,t(-40~-20),t(-20~0),t(0~20),t(20~40),t(40~60),t(60~80),C'(-40~-20),C'(-20~0),C'(0~20),C'(20~40),C'(40~60),C'(60~80),He-Ne(-40~-20),He-Ne(20~0),He-Ne(0~20),He-Ne(20~40),He-Ne(40~60),He-Ne(60~80),D(-40~-20),D(-20~0),D(0~20),D(20~40),D(40~60),D(60~80),e(-40~-20),e(-20~0),e(0~20),e(20~40),e(40~60),e(60~80),F'(-40~-20),F'(-20~0),F'(0~20),F'(20~40),F'(40~60),F'(60~80),g(-40~-20),g(-20~0),g(0~20),g(20~40),g(40~60),g(60~80), D0, D1, D2, E0, E1,λTK,StP（℃）,AP（℃）,Tg（℃）,At（℃）,SP（℃）,(-30~+70),(100~300),k(W/(m･K)),Young's (E) ,Rigidity (G),Poisson's(σ),Knoop (Hk),Group,Abrasion(Aa),β,RW(P),RA(P),W(S)max,W(S)min,SR,PR,B,d
1,S-FPL51,497816,498810,1.479520 ,1.482693 ,1.486103 ,1.489110 ,1.490103 ,1.491829 ,1.493002 ,1.494073 ,1.495136 ,1.495433 ,1.495711 ,1.496945 ,1.496999 ,1.498455 ,1.501231 ,1.501576 ,1.504074 ,1.504507 ,1.507205 ,1.511760 ,81.6 ,81.0 ,81.54 ,81.14 ,0.00609 ,0.006095 ,0.006143 ,0.005033 ,0.002134 ,0.001863 ,0.003319 ,0.007508 ,0.003276 ,0.002698 ,0.007253 ,0.005330 ,0.003022 ,0.003121 ,0.010184 ,0.8258 ,0.3501 ,0.3057 ,0.5445 ,1.2318 ,0.5375 ,0.4427 ,1.1900 ,0.8677 ,0.4919 ,0.5081 ,1.6578 ,-0.1035 ,-0.0246 ,0.0364 ,0.0280 ,0.1478 ,1.17010505E+00,4.75710783E-02,7.63832445E-01,6.16203924E-03,2.63372876E-02,1.41882642E+02,,,,,,,340 ,,290 ,333 ,290 ,0.00 ,0.16 ,0.13 ,0.010 ,0.050 ,0.170 ,0.370 ,0.600 ,0.770 ,0.880 ,0.947 ,0.975 ,0.988 ,0.994 ,0.996 ,0.995 ,0.994 ,0.994 ,0.996 ,0.997 ,0.998 ,0.999 ,0.998 ,0.998 ,0.998 ,0.999 ,0.999 ,0.999 ,0.999 ,0.999 ,0.999 ,0.999 ,0.999 ,0.997 ,0.996 ,-5.7 ,-5.9 ,-6.2 ,-6.4 ,-6.7 ,-6.9 ,-5.5 ,-5.8 ,-6.0 ,-6.2 ,-6.5 ,-6.7 ,-5.5 ,-5.7 ,-6.0 ,-6.2 ,-6.5 ,-6.7 ,-5.4 ,-5.7 ,-5.9 ,-6.2 ,-6.4 ,-6.7 ,-5.4 ,-5.6 ,-5.8 ,-6.1 ,-6.3 ,-6.6 ,-5.3 ,-5.5 ,-5.7 ,-5.9 ,-6.1 ,-6.4 ,-5.1 ,-5.3 ,-5.5 ,-5.8 ,-6.0 ,-6.2 ,-1.91E-05,-4.44E-09,-4.62E-11,3.74E-07,4.39E-10,1.63E-01,,,458 ,489 ,,131 ,155 ,0.780 ,727 ,280 ,0.299 ,350 ,4 ,449 ,0.74 ,1 ,3 ,1 ,,52.1 ,4.0 ,,3.62 
2,S-FPL53,439950,440946,1.425123 ,1.427618 ,1.430316 ,1.432688 ,1.433463 ,1.434800 ,1.435702 ,1.436522 ,1.437333 ,1.437560 ,1.437771 ,1.438709 ,1.438750 ,1.439854 ,1.441955 ,1.442215 ,1.444098 ,1.444423 ,1.446451 ,1.449860 ,95.0 ,94.6 ,94.93 ,94.49 ,0.00462 ,0.004622 ,0.004655 ,0.003870 ,0.001631 ,0.001417 ,0.002521 ,0.005673 ,0.002468 ,0.002028 ,0.005437 ,0.004097 ,0.002294 ,0.002361 ,0.007645 ,0.8373 ,0.3529 ,0.3066 ,0.5454 ,1.2274 ,0.5340 ,0.4388 ,1.1763 ,0.8801 ,0.4928 ,0.5072 ,1.6423 ,-0.1548 ,-0.0381 ,0.0598 ,0.0461 ,0.2462 ,9.83532327E-01,6.95688140E-02,1.11409238E+00,4.92234955E-03,1.93581091E-02,2.64275294E+02,,,,,,,330 ,,280 ,326 ,283 ,0.00 ,0.13 ,0.08 ,0.040 ,0.120 ,0.280 ,0.510 ,0.710 ,0.850 ,0.928 ,0.967 ,0.985 ,0.992 ,0.996 ,0.997 ,0.996 ,0.995 ,0.995 ,0.996 ,0.997 ,0.998 ,0.999 ,0.998 ,0.997 ,0.998 ,0.998 ,0.997 ,0.997 ,0.998 ,0.998 ,0.998 ,0.998 ,0.998 ,0.997 ,0.998 ,-5.9 ,-6.2 ,-6.5 ,-6.9 ,-7.2 ,-7.5 ,-5.8 ,-6.1 ,-6.4 ,-6.8 ,-7.1 ,-7.4 ,-5.8 ,-6.1 ,-6.4 ,-6.7 ,-7.1 ,-7.4 ,-5.7 ,-6.1 ,-6.4 ,-6.7 ,-7.0 ,-7.3 ,-5.7 ,-6.0 ,-6.3 ,-6.6 ,-7.0 ,-7.3 ,-5.6 ,-5.9 ,-6.2 ,-6.5 ,-6.8 ,-7.2 ,-5.5 ,-5.8 ,-6.1 ,-6.4 ,-6.7 ,-7.0 ,-2.22E-05,-1.06E-08,-4.91E-11,2.77E-07,3.92E-10,2.06E-01,,,426 ,456 ,,145 ,169 ,0.857 ,691 ,265 ,0.303 ,320 ,3 ,451 ,0.57 ,1 ,2 ,3 ,,52.3 ,4.3 ,B,3.62 
3,S-FPL55,439948,440942,1.424918 ,1.427469 ,1.430228 ,1.432645 ,1.433430 ,1.434780 ,1.435689 ,1.436513 ,1.437328 ,1.437555 ,1.437767 ,1.438708 ,1.438750 ,1.439857 ,1.441963 ,1.442223 ,1.444111 ,1.444438 ,1.446469 ,1.449883 ,94.8 ,94.2 ,94.66 ,94.23 ,0.00463 ,0.004635 ,0.004668 ,0.003898 ,0.001639 ,0.001422 ,0.002529 ,0.005688 ,0.002475 ,0.002031 ,0.005445 ,0.004125 ,0.002302 ,0.002366 ,0.007660 ,0.8410 ,0.3536 ,0.3068 ,0.5456 ,1.2272 ,0.5340 ,0.4382 ,1.1748 ,0.8837 ,0.4931 ,0.5069 ,1.6410 ,-0.1498 ,-0.0371 ,0.0590 ,0.0457 ,0.2424 ,8.39067682E-01,2.14083503E-01,1.47914677E+00,7.95286639E-03,-2.32581717E-03,3.40043700E+02,,,,,,,335 ,,290 ,329 ,285 ,0.00 ,0.13 ,0.08 ,0.020 ,0.080 ,0.220 ,0.430 ,0.650 ,0.810 ,0.907 ,0.957 ,0.979 ,0.989 ,0.995 ,0.996 ,0.996 ,0.995 ,0.995 ,0.996 ,0.997 ,0.998 ,0.999 ,0.998 ,0.997 ,0.997 ,0.997 ,0.996 ,0.995 ,0.996 ,0.997 ,0.997 ,0.997 ,0.997 ,0.996 ,0.997 ,-5.4 ,-5.8 ,-6.1 ,-6.4 ,-6.7 ,-6.9 ,-5.2 ,-5.7 ,-6.0 ,-6.3 ,-6.5 ,-6.8 ,-5.2 ,-5.7 ,-6.0 ,-6.3 ,-6.5 ,-6.8 ,-5.2 ,-5.6 ,-6.0 ,-6.3 ,-6.5 ,-6.7 ,-5.1 ,-5.6 ,-5.9 ,-6.2 ,-6.4 ,-6.6 ,-5.0 ,-5.4 ,-5.8 ,-6.0 ,-6.3 ,-6.5 ,-4.9 ,-5.3 ,-5.6 ,-5.9 ,-6.1 ,-6.4 ,-2.10E-05,-7.63E-09,1.24E-11,2.82E-07,1.80E-10,2.24E-01,,,435 ,460 ,,136 ,166 ,0.876 ,698 ,268 ,0.302 ,340 ,3 ,387 ,0.59 ,1 ,2 ,2 ,,52.1 ,4.1 ,,3.59 
4,S-FPM 2,595677,597674,1.572518 ,1.576309 ,1.580447 ,1.584255 ,1.585567 ,1.587910 ,1.589540 ,1.591046 ,1.592555 ,1.592978 ,1.593374 ,1.595142 ,1.595220 ,1.597316 ,1.601342 ,1.601844 ,1.605491 ,1.606124 ,1.610084 ,1.616805 ,67.7 ,67.4 ,67.74 ,67.37 ,0.00879 ,0.008787 ,0.008866 ,0.006988 ,0.003015 ,0.002665 ,0.004761 ,0.010904 ,0.004782 ,0.003960 ,0.010681 ,0.007411 ,0.004338 ,0.004528 ,0.014961 ,0.7953 ,0.3431 ,0.3033 ,0.5418 ,1.2409 ,0.5442 ,0.4507 ,1.2155 ,0.8359 ,0.4893 ,0.5107 ,1.6875 ,-0.0692 ,-0.0149 ,0.0169 ,0.0123 ,0.0577 ,7.61242785E-01,7.47033375E-01,9.38928947E-01,3.21174095E-03,1.40234423E-02,1.39523530E+02,,,,,,,355 ,,295 ,347 ,302 ,0.00 ,0.32 ,0.27 ,,,,0.180 ,0.350 ,0.540 ,0.720 ,0.840 ,0.917 ,0.958 ,0.980 ,0.988 ,0.991 ,0.989 ,0.989 ,0.992 ,0.994 ,0.996 ,0.998 ,0.997 ,0.996 ,0.996 ,0.995 ,0.995 ,0.996 ,0.997 ,0.997 ,0.997 ,0.995 ,0.992 ,0.989 ,0.983 ,-5.8 ,-6.0 ,-6.1 ,-6.3 ,-6.4 ,-6.5 ,-5.5 ,-5.7 ,-5.9 ,-6.1 ,-6.2 ,-6.2 ,-5.5 ,-5.7 ,-5.9 ,-6.1 ,-6.1 ,-6.2 ,-5.4 ,-5.6 ,-5.8 ,-6.0 ,-6.1 ,-6.1 ,-5.3 ,-5.5 ,-5.7 ,-5.9 ,-5.9 ,-6.0 ,-5.1 ,-5.3 ,-5.5 ,-5.6 ,-5.7 ,-5.7 ,-4.9 ,-5.1 ,-5.2 ,-5.4 ,-5.4 ,-5.5 ,-1.65E-05,2.94E-09,-1.11E-12,4.25E-07,3.23E-10,1.76E-01,,,571 ,596 ,,117 ,135 ,0.624 ,757 ,294 ,0.287 ,390 ,4 ,488 ,0.51 ,1 ,1 ,2 ,,51.3 ,4.1 ,,4.17 
5,S-FPM 3,538747,539743,1.517381 ,1.521050 ,1.524997 ,1.528491 ,1.529649 ,1.531668 ,1.533044 ,1.534303 ,1.535554 ,1.535904 ,1.536231 ,1.537686 ,1.537750 ,1.539469 ,1.542753 ,1.543161 ,1.546122 ,1.546635 ,1.549838 ,1.555253 ,74.7 ,74.3 ,74.70 ,74.34 ,0.00720 ,0.007199 ,0.007257 ,0.005905 ,0.002510 ,0.002196 ,0.003915 ,0.008885 ,0.003882 ,0.003203 ,0.008618 ,0.006255 ,0.003565 ,0.003692 ,0.012092 ,0.8203 ,0.3487 ,0.3050 ,0.5438 ,1.2342 ,0.5392 ,0.4449 ,1.1971 ,0.8619 ,0.4912 ,0.5088 ,1.6663 ,-0.0769 ,-0.0177 ,0.0246 ,0.0186 ,0.0976 ,8.09407286E-01,5.27007033E-01,9.09127704E-01,3.76072389E-03,1.35654895E-02,1.42503612E+02,,,,,,,345 ,,,336 ,284 ,0.00 ,0.28 ,0.23 ,0.030 ,0.080 ,0.190 ,0.360 ,0.550 ,0.720 ,0.850 ,0.924 ,0.962 ,0.981 ,0.990 ,0.992 ,0.992 ,0.989 ,0.990 ,0.992 ,0.995 ,0.996 ,0.998 ,0.997 ,0.996 ,0.996 ,0.994 ,0.995 ,0.996 ,0.997 ,0.997 ,0.996 ,0.995 ,0.993 ,0.987 ,0.984 ,-3.9 ,-4.2 ,-4.4 ,-4.6 ,-4.7 ,-4.8 ,-3.7 ,-4.0 ,-4.2 ,-4.4 ,-4.5 ,-4.6 ,-3.7 ,-4.0 ,-4.2 ,-4.4 ,-4.5 ,-4.6 ,-3.6 ,-3.9 ,-4.2 ,-4.3 ,-4.4 ,-4.5 ,-3.5 ,-3.8 ,-4.1 ,-4.2 ,-4.3 ,-4.4 ,-3.3 ,-3.6 ,-3.8 ,-4.0 ,-4.1 ,-4.2 ,-3.2 ,-3.4 ,-3.6 ,-3.8 ,-3.9 ,-4.0 ,-1.39E-05,1.49E-09,1.66E-11,3.43E-07,1.65E-10,2.18E-01,,,496 ,524 ,,115 ,138 ,0.805 ,806 ,312 ,0.291 ,390 ,4 ,373 ,0.85 ,1 ,3 ,1 ,,5.1 ,4.1 ,,3.64 
6,S-FPM 4,528765,530760,1.509108 ,1.512541 ,1.516248 ,1.519551 ,1.520653 ,1.522579 ,1.523897 ,1.525102 ,1.526303 ,1.526638 ,1.526952 ,1.528349 ,1.528410 ,1.530060 ,1.533214 ,1.533606 ,1.536450 ,1.536943 ,1.540019 ,1.545218 ,76.5 ,76.0 ,76.46 ,76.07 ,0.00691 ,0.006911 ,0.006968 ,0.005650 ,0.002406 ,0.002107 ,0.003757 ,0.008533 ,0.003729 ,0.003076 ,0.008275 ,0.005985 ,0.003422 ,0.003546 ,0.011612 ,0.8175 ,0.3481 ,0.3049 ,0.5436 ,1.2347 ,0.5396 ,0.4451 ,1.1974 ,0.8589 ,0.4911 ,0.5089 ,1.6665 ,-0.0879 ,-0.0205 ,0.0288 ,0.0218 ,0.1126 ,6.85585084E-01,6.23380215E-01,9.14178386E-01,2.88172010E-03,1.24701707E-02,1.53577200E+02,,,,,,,340 ,,,335 ,283 ,0.00 ,0.14 ,0.11 ,0.030 ,0.090 ,0.200 ,0.370 ,0.580 ,0.750 ,0.860 ,0.934 ,0.968 ,0.984 ,0.992 ,0.995 ,0.996 ,0.995 ,0.995 ,0.996 ,0.997 ,0.998 ,0.999 ,0.998 ,0.998 ,0.997 ,0.997 ,0.997 ,0.997 ,0.998 ,0.999 ,0.998 ,0.998 ,0.998 ,0.996 ,0.995 ,-5.4 ,-5.7 ,-5.9 ,-6.2 ,-6.3 ,-6.4 ,-5.2 ,-5.5 ,-5.8 ,-6.0 ,-6.1 ,-6.2 ,-5.2 ,-5.5 ,-5.8 ,-6.0 ,-6.1 ,-6.2 ,-5.1 ,-5.5 ,-5.7 ,-5.9 ,-6.1 ,-6.1 ,-5.0 ,-5.4 ,-5.6 ,-5.8 ,-6.0 ,-6.1 ,-4.9 ,-5.2 ,-5.4 ,-5.6 ,-5.8 ,-5.9 ,-4.7 ,-5.0 ,-5.2 ,-5.4 ,-5.6 ,-5.6 ,-1.77E-05,-4.38E-10,1.28E-11,3.47E-07,2.37E-10,2.12E-01,,,488 ,520 ,,123 ,143 ,0.746 ,747 ,289 ,0.295 ,360 ,4 ,506 ,0.72 ,1 ,3 ,1 ,,51.3 ,4.3 ,,3.76 
7,S-FSL 5,487702,489701,1.462267 ,1.467651 ,1.473245 ,1.477782 ,1.479150 ,1.481382 ,1.482822 ,1.484099 ,1.485344 ,1.485689 ,1.486010 ,1.487428 ,1.487490 ,1.489147 ,1.492285 ,1.492673 ,1.495479 ,1.495964 ,1.498983 ,1.504063 ,70.2 ,70.1 ,70.23 ,70.04 ,0.00694 ,0.006941 ,0.006984 ,0.006194 ,0.002522 ,0.002146 ,0.003803 ,0.008474 ,0.003679 ,0.003019 ,0.008099 ,0.006539 ,0.003458 ,0.003526 ,0.011390 ,0.8924 ,0.3633 ,0.3092 ,0.5479 ,1.2209 ,0.5300 ,0.4350 ,1.1668 ,0.9363 ,0.4951 ,0.5049 ,1.6309 ,0.0162 ,0.0023 ,0.0020 ,0.0022 ,0.0299 ,1.17447043E+00,1.40056154E-02,1.19272435E+00,8.41855181E-03,-5.81790767E-02,1.29599726E+02,,,,,,,300 ,,265 ,304 ,277 ,0.00 ,0.00 ,0.00 ,0.130 ,0.430 ,0.730 ,0.890 ,0.961 ,0.984 ,0.992 ,0.995 ,0.995 ,0.998 ,0.998 ,0.999 ,0.999 ,0.999 ,0.999 ,0.999 ,0.999 ,0.999 ,0.999 ,0.999 ,0.999 ,0.999 ,0.999 ,0.999 ,0.998 ,0.998 ,0.982 ,0.992 ,0.985 ,0.971 ,0.880 ,0.870 ,-1.3 ,-1.2 ,-1.1 ,-1.1 ,-1.0 ,-0.8 ,-1.1 ,-1.0 ,-0.9 ,-0.9 ,-0.7 ,-0.5 ,-1.1 ,-1.0 ,-0.9 ,-0.9 ,-0.7 ,-0.5 ,-1.0 ,-0.9 ,-0.9 ,-0.8 ,-0.6 ,-0.4 ,-0.9 ,-0.9 ,-0.8 ,-0.7 ,-0.6 ,-0.3 ,-0.8 ,-0.7 ,-0.6 ,-0.5 ,-0.4 ,-0.1 ,-0.6 ,-0.5 ,-0.4 ,-0.3 ,-0.2 ,0.1 ,-6.33E-06,1.80E-08,-5.04E-12,3.30E-07,2.62E-10,2.08E-01,457 ,491 ,500 ,568 ,679 ,90 ,95 ,1.007 ,623 ,254 ,0.227 ,520 ,5 ,111 ,2.87 ,3 ,4 ,1 ,2 ,3.0 ,2.0 ,,2.46 
8,S-BSL 7,516641,518639,1.488994 ,1.494621 ,1.500504 ,1.505364 ,1.506862 ,1.509347 ,1.510973 ,1.512428 ,1.513855 ,1.514251 ,1.514621 ,1.516258 ,1.516330 ,1.518251 ,1.521905 ,1.522358 ,1.525645 ,1.526214 ,1.529768 ,1.535785 ,64.1 ,63.9 ,64.14 ,63.93 ,0.00805 ,0.008050 ,0.008107 ,0.006993 ,0.002882 ,0.002475 ,0.004396 ,0.009884 ,0.004309 ,0.003554 ,0.009571 ,0.007389 ,0.004000 ,0.004107 ,0.013427 ,0.8687 ,0.3580 ,0.3075 ,0.5461 ,1.2278 ,0.5353 ,0.4415 ,1.1889 ,0.9114 ,0.4934 ,0.5066 ,1.6562 ,0.0211 ,0.0044 ,-0.0037 ,-0.0024 ,0.0010 ,1.15150190E+00,1.18583612E-01,1.26301359E+00,1.05984130E-02,-1.18225190E-02,1.29617662E+02,,,,,,,330 ,,285 ,323 ,289 ,0.00 ,0.08 ,0.07 ,,0.080 ,0.310 ,0.580 ,0.770 ,0.880 ,0.940 ,0.968 ,0.984 ,0.991 ,0.991 ,0.996 ,0.997 ,0.996 ,0.995 ,0.995 ,0.996 ,0.996 ,0.998 ,0.997 ,0.997 ,0.998 ,0.998 ,0.997 ,0.996 ,0.995 ,0.982 ,0.991 ,0.980 ,0.961 ,0.890 ,0.850 ,2.1 ,2.1 ,2.2 ,2.2 ,2.3 ,2.4 ,2.3 ,2.4 ,2.5 ,2.6 ,2.6 ,2.7 ,2.3 ,2.4 ,2.5 ,2.6 ,2.7 ,2.7 ,2.4 ,2.5 ,2.6 ,2.7 ,2.8 ,2.9 ,2.5 ,2.6 ,2.7 ,2.8 ,2.9 ,3.0 ,2.7 ,2.8 ,3.0 ,3.1 ,3.2 ,3.3 ,3.0 ,3.1 ,3.2 ,3.3 ,3.5 ,3.6 ,1.70E-06,1.43E-08,-4.27E-11,4.08E-07,6.74E-10,2.01E-01,532 ,563 ,576 ,625 ,718 ,72 ,86 ,1.130 ,800 ,332 ,0.205 ,570 ,6 ,94 ,2.79 ,2 ,1 ,1 ,2 ,1.0 ,2.0 ,,2.52 
9,S-BSM 2,607568,610565,1.578742 ,1.583738 ,1.589132 ,1.593977 ,1.595610 ,1.598494 ,1.600482 ,1.602313 ,1.604144 ,1.604658 ,1.605138 ,1.607284 ,1.607379 ,1.609927 ,1.614835 ,1.615448 ,1.619918 ,1.620697 ,1.625582 ,1.633941 ,56.8 ,56.5 ,56.81 ,56.53 ,0.01069 ,0.010691 ,0.010790 ,0.008534 ,0.003662 ,0.003235 ,0.005783 ,0.013318 ,0.005862 ,0.004885 ,0.013244 ,0.009048 ,0.005269 ,0.005521 ,0.018493 ,0.7982 ,0.3425 ,0.3026 ,0.5409 ,1.2457 ,0.5483 ,0.4569 ,1.2388 ,0.8386 ,0.4883 ,0.5117 ,1.7139 ,-0.0150 ,-0.0022 ,-0.0010 ,-0.0013 ,-0.0105 ,8.67168676E-01,6.72848343E-01,1.18456107E+00,3.69311003E-03,1.81652804E-02,1.32376147E+02,,,,,,,350 ,,300 ,343 ,310 ,0.00 ,0.26 ,0.25 ,,,,0.040 ,0.270 ,0.570 ,0.770 ,0.880 ,0.941 ,0.967 ,0.981 ,0.987 ,0.991 ,0.991 ,0.990 ,0.991 ,0.993 ,0.995 ,0.997 ,0.997 ,0.996 ,0.998 ,0.999 ,0.998 ,0.998 ,0.998 ,0.994 ,0.997 ,0.992 ,0.984 ,0.951 ,0.890 ,3.1 ,3.2 ,3.3 ,3.4 ,3.4 ,3.5 ,3.5 ,3.6 ,3.7 ,3.8 ,3.9 ,4.0 ,3.6 ,3.7 ,3.7 ,3.8 ,3.9 ,4.0 ,3.7 ,3.8 ,3.9 ,4.0 ,4.1 ,4.2 ,3.8 ,3.9 ,4.0 ,4.1 ,4.3 ,4.4 ,4.2 ,4.3 ,4.4 ,4.5 ,4.7 ,4.8 ,4.5 ,4.7 ,4.8 ,4.9 ,5.1 ,5.2 ,3.43E-06,1.37E-08,-3.45E-11,5.05E-07,5.49E-10,2.03E-01,612 ,643 ,654 ,690 ,778 ,65 ,74 ,0.802 ,780 ,309 ,0.264 ,560 ,6 ,133 ,2.26 ,1 ,3 ,2 ,,5.2 ,2.2 ,,3.53 
