,,,,REFRACTIVE INDICES,,,,REFRACTIVE INDICES,,,,REFRACTIVE INDICES,,,,REFRACTIVE INDICES,,,,REFRACTIVE INDICES,,,,ABBE,,ABBE,,DISPERSIONS,,,PARTIAL DISPERSIONS,,,,,,PARTIAL DISPERSIONS,,,,,,RELATIVE PARTIAL DISPERSIONS,,,,,,RELATIVE PARTIAL DISPERSIONS,,,,,,Deviation of Relative Partial Dispesions,,,,,CONSTANTS  OF DISPERSION FORMULA (Sellmeier),,,,,,CONSTANTS  OF DISPERSION FORMULA (Cauchy),,,,,,COLORING,,,INTERNAL  TRANSMISSION COLORING,,CCI,,,INTERNAL  TRANSMISSION  (τ／10mm Thick) ,,,,,,,,,INTERNAL  TRANSMISSION  (τ／10mm Thick) ,,,,,,,,INTERNAL  TRANSMISSION  (τ／10mm Thick) ,,,,,,,,INTERNAL  TRANSMISSION  (τ／10mm Thick) ,,,,,,,dn/dT  relative   (10-6 / ℃),,,,,,dn/dT  relative   (10-6 / ℃),,,,,,dn/dT  relative   (10-6 / ℃),,,,,,dn/dT  relative   (10-6 / ℃),,,,,,dn/dT  relative   (10-6 / ℃),,,,,,dn/dT  relative   (10-6 / ℃),,,,,,dn/dT  relative   (10-6 / ℃),,,,,,Constants of dn/dT,,,,,,Thermal Properties,,,,,CTEα(10-7/℃),,Conductivity,Mechanical  Properties,,,,,,,Chemical  Properties,,,,,,Bubble Grp,Spec. Gravity,Remarks
,Glass ,Code(d),Code(e),n2325,n1970,n1530,n1129,nt,ns,nA',nr,nC,nC',nHe-Ne,nD,nd,ne,nF,nF',nHe-Cd,ng,nh,ni,νd,νe,νd,νe,nF-nC,nF-nC,nF'-nC',nC-nt,nC-nA',nd-nC,ne-nC,ng-nd,ng-nF,nh-ng,ni-ng,nC'-nt,ne-nC',nF'-ne,ni-nF',"θC,t","θC,A'","θd,C","θe,C","θg,d","θg,F","θh,g","θi,g","θ'C',t","θ'e,C'","θ'F',e","θ'i,F'","ΔθC,t","ΔθC,A'","Δθg,d","Δθg,F","Δθi,g",A1,A2,A3,B1,B2,B3,A0,A1,A2,A3,A4,A5,λ80,(λ70),λ5,λ0.80,λ0.05,B,G,R,280,290,300,310,320,330,340,350,360,370,380,390,400,420,440,460,480,500,550,600,650,700,800,900,1000,1200,1400,1600,1800,2000,2200,2400,t(-40~-20),t(-20~0),t(0~20),t(20~40),t(40~60),t(60~80),C'(-40~-20),C'(-20~0),C'(0~20),C'(20~40),C'(40~60),C'(60~80),He-Ne(-40~-20),He-Ne(20~0),He-Ne(0~20),He-Ne(20~40),He-Ne(40~60),He-Ne(60~80),D(-40~-20),D(-20~0),D(0~20),D(20~40),D(40~60),D(60~80),e(-40~-20),e(-20~0),e(0~20),e(20~40),e(40~60),e(60~80),F'(-40~-20),F'(-20~0),F'(0~20),F'(20~40),F'(40~60),F'(60~80),g(-40~-20),g(-20~0),g(0~20),g(20~40),g(40~60),g(60~80), D0, D1, D2, E0, E1,λTK,StP（℃）,AP（℃）,Tg（℃）,At（℃）,SP（℃）,(-30~+70),(100~300),k(W/(m･K)),Young's (E) ,Rigidity (G),Poisson's(σ),Knoop (Hk),Group,Abrasion(Aa),β,RW(P),RA(P),W(S)max,W(S)min,SR,PR,B,d,
1,L-BSL 7,516641,518638,1.488101 ,1.494043 ,1.500201 ,1.505230 ,1.506765 ,1.509296 ,1.510942 ,1.512410 ,1.513846 ,1.514244 ,1.514615 ,1.516258 ,1.516330 ,1.518253 ,1.521906 ,1.522358 ,1.525637 ,1.526204 ,1.529748 ,1.535745 ,64.1 ,63.8 ,64.06 ,63.87 ,0.00806 ,0.008060 ,0.008114 ,0.007081 ,0.002904 ,0.002484 ,0.004407 ,0.009874 ,0.004298 ,0.003544 ,0.009541 ,0.007479 ,0.004009 ,0.004105 ,0.013387 ,0.8785 ,0.3603 ,0.3082 ,0.5468 ,1.2251 ,0.5333 ,0.4397 ,1.1837 ,0.9217 ,0.4941 ,0.5059 ,1.6499 ,0.0312 ,0.0068 ,-0.0066 ,-0.0045 ,-0.0049 ,9.17473918E-01,3.52687665E-01,1.05579788E+00,5.27701411E-03,1.70809497E-02,1.04302583E+02,,,,,,,330 ,,295 ,326 ,299 ,0.00 ,0.08 ,0.09 ,,,0.080 ,0.400 ,0.710 ,0.870 ,0.942 ,0.973 ,0.986 ,0.992 ,0.994 ,0.996 ,0.997 ,0.997 ,0.997 ,0.997 ,0.998 ,0.999 ,0.999 ,0.999 ,0.999 ,0.999 ,0.999 ,0.999 ,0.999 ,0.999 ,0.974 ,0.994 ,0.988 ,0.974 ,0.870 ,0.800 ,4.0 ,4.1 ,4.1 ,4.2 ,4.3 ,4.4 ,4.3 ,4.4 ,4.5 ,4.6 ,4.7 ,4.7 ,4.3 ,4.4 ,4.5 ,4.6 ,4.7 ,4.8 ,4.4 ,4.5 ,4.6 ,4.7 ,4.8 ,4.9 ,4.5 ,4.6 ,4.7 ,4.8 ,4.9 ,5.0 ,4.7 ,4.8 ,4.9 ,5.1 ,5.2 ,5.3 ,4.9 ,5.1 ,5.2 ,5.3 ,5.5 ,5.6 ,6.37E-06,1.48E-08,-4.17E-11,4.37E-07,7.14E-10,1.47E-01,464 ,488 ,498 ,549 ,630 ,58 ,71 ,1.169 ,793 ,327 ,0.214 ,560 ,6 ,69 ,2.93 ,2 ,1 ,3 ,,1.0 ,1.2 ,,2.38 ,
2,L-BAL35,589612,591609,1.557754 ,1.564073 ,1.570693 ,1.576220 ,1.577948 ,1.580845 ,1.582760 ,1.584482 ,1.586178 ,1.586650 ,1.587090 ,1.589044 ,1.589130 ,1.591428 ,1.595812 ,1.596356 ,1.600311 ,1.600997 ,1.605285 ,1.612564 ,61.2 ,60.9 ,61.15 ,60.93 ,0.00963 ,0.009634 ,0.009706 ,0.008230 ,0.003418 ,0.002952 ,0.005250 ,0.011867 ,0.005185 ,0.004288 ,0.011567 ,0.008702 ,0.004778 ,0.004928 ,0.016208 ,0.8543 ,0.3548 ,0.3064 ,0.5449 ,1.2318 ,0.5382 ,0.4451 ,1.2006 ,0.8966 ,0.4923 ,0.5077 ,1.6699 ,0.0207 ,0.0048 ,-0.0059 ,-0.0043 ,-0.0124 ,1.16262630E+00,3.25661051E-01,1.35132486E+00,1.25957437E-02,-3.26911050E-03,1.19214596E+02,,,,,,,345 ,,295 ,336 ,300 ,0.00 ,0.23 ,0.20 ,,,0.060 ,0.270 ,0.530 ,0.730 ,0.850 ,0.922 ,0.956 ,0.975 ,0.984 ,0.989 ,0.992 ,0.993 ,0.993 ,0.995 ,0.996 ,0.998 ,0.999 ,0.998 ,0.998 ,0.998 ,0.999 ,0.998 ,0.997 ,0.997 ,0.991 ,0.994 ,0.989 ,0.978 ,0.934 ,0.810 ,3.9 ,3.9 ,4.0 ,4.0 ,4.1 ,4.1 ,4.3 ,4.3 ,4.4 ,4.4 ,4.5 ,4.5 ,4.3 ,4.3 ,4.4 ,4.5 ,4.5 ,4.6 ,4.4 ,4.5 ,4.5 ,4.6 ,4.7 ,4.8 ,4.5 ,4.6 ,4.7 ,4.7 ,4.8 ,4.9 ,4.8 ,4.9 ,5.0 ,5.1 ,5.2 ,5.2 ,5.1 ,5.2 ,5.3 ,5.4 ,5.5 ,5.6 ,5.03E-06,1.22E-08,-3.81E-11,4.93E-07,5.76E-10,1.60E-01,489 ,520 ,527 ,567 ,619 ,66 ,81 ,1.126 ,1008 ,403 ,0.252 ,630 ,6 ,100 ,2.29 ,2 ,4 ,3 ,,52.2 ,3.2 ,,2.82 ,
3,L-BAL35P,592610,594608,1.560513 ,1.566873 ,1.573527 ,1.579081 ,1.580818 ,1.583734 ,1.585662 ,1.587397 ,1.589106 ,1.589581 ,1.590025 ,1.591994 ,1.592080 ,1.594396 ,1.598813 ,1.599362 ,1.603346 ,1.604037 ,1.608359 ,1.615697 ,61.0 ,60.8 ,61.00 ,60.77 ,0.00970 ,0.009707 ,0.009781 ,0.008288 ,0.003444 ,0.002974 ,0.005290 ,0.011957 ,0.005224 ,0.004322 ,0.011660 ,0.008763 ,0.004815 ,0.004966 ,0.016335 ,0.8538 ,0.3548 ,0.3064 ,0.5450 ,1.2318 ,0.5382 ,0.4452 ,1.2012 ,0.8959 ,0.4923 ,0.5077 ,1.6701 ,0.0209 ,0.0050 ,-0.0062 ,-0.0046 ,-0.0130 ,8.06742194E-01,6.90488648E-01,1.26477947E+00,1.48836231E-02,2.51943058E-03,1.11314570E+02,,,,,,,345 ,,295 ,336 ,300 ,0.00 ,0.23 ,0.20 ,,,0.060 ,0.270 ,0.530 ,0.730 ,0.850 ,0.922 ,0.956 ,0.975 ,0.984 ,0.989 ,0.992 ,0.993 ,0.993 ,0.995 ,0.996 ,0.998 ,0.999 ,0.998 ,0.998 ,0.998 ,0.999 ,0.998 ,0.997 ,0.997 ,0.991 ,0.994 ,0.989 ,0.978 ,0.934 ,0.810 ,3.9 ,3.9 ,4.0 ,4.0 ,4.1 ,4.1 ,4.3 ,4.3 ,4.4 ,4.4 ,4.5 ,4.5 ,4.3 ,4.3 ,4.4 ,4.5 ,4.5 ,4.6 ,4.4 ,4.5 ,4.5 ,4.6 ,4.7 ,4.8 ,4.5 ,4.6 ,4.7 ,4.7 ,4.8 ,4.9 ,4.8 ,4.9 ,5.0 ,5.1 ,5.2 ,5.2 ,5.1 ,5.2 ,5.3 ,5.4 ,5.5 ,5.6 ,5.03E-06,1.22E-08,-3.81E-11,4.93E-07,5.76E-10,1.60E-01,489 ,520 ,527 ,567 ,619 ,66 ,81 ,1.126 ,1008 ,403 ,0.252 ,630 ,6 ,100 ,2.29 ,2 ,4 ,3 ,,52.2 ,3.2 ,,2.82 ,
4,L-BAL42,583594,585591,1.554020 ,1.559488 ,1.565327 ,1.570378 ,1.572012 ,1.574817 ,1.576708 ,1.578428 ,1.580134 ,1.580611 ,1.581056 ,1.583038 ,1.583126 ,1.585468 ,1.589954 ,1.590512 ,1.594574 ,1.595279 ,1.599691 ,1.607189 ,59.4 ,59.1 ,59.38 ,59.13 ,0.00982 ,0.009820 ,0.009901 ,0.008122 ,0.003426 ,0.002992 ,0.005334 ,0.012153 ,0.005325 ,0.004412 ,0.011910 ,0.008599 ,0.004857 ,0.005044 ,0.016677 ,0.8271 ,0.3489 ,0.3047 ,0.5432 ,1.2376 ,0.5423 ,0.4493 ,1.2128 ,0.8685 ,0.4906 ,0.5094 ,1.6844 ,0.0018 ,0.0010 ,-0.0038 ,-0.0031 ,-0.0150 ,1.39528097E+00,7.25519520E-02,1.66335848E+00,1.11862030E-02,-2.46748575E-02,1.67717958E+02,,,,,,,340 ,,285 ,326 ,282 ,0.00 ,0.17 ,0.14 ,0.030 ,0.140 ,0.320 ,0.550 ,0.730 ,0.850 ,0.924 ,0.960 ,0.978 ,0.987 ,0.992 ,0.994 ,0.995 ,0.996 ,0.996 ,0.996 ,0.998 ,0.998 ,0.999 ,0.999 ,0.998 ,0.999 ,0.999 ,0.999 ,0.999 ,0.999 ,0.988 ,0.993 ,0.983 ,0.968 ,0.901 ,0.830 ,3.3 ,3.2 ,3.1 ,3.1 ,3.1 ,3.2 ,3.7 ,3.6 ,3.6 ,3.5 ,3.6 ,3.7 ,3.7 ,3.6 ,3.6 ,3.6 ,3.6 ,3.7 ,3.8 ,3.8 ,3.7 ,3.7 ,3.7 ,3.8 ,4.0 ,3.9 ,3.9 ,3.9 ,3.9 ,4.0 ,4.3 ,4.3 ,4.2 ,4.2 ,4.3 ,4.4 ,4.6 ,4.6 ,4.6 ,4.6 ,4.6 ,4.8 ,2.46E-06,9.17E-09,-3.83E-11,4.68E-07,4.90E-10,2.10E-01,467 ,494 ,506 ,538 ,607 ,72 ,88 ,1.028 ,891 ,357 ,0.247 ,590 ,6 ,113 ,2.19 ,1 ,3 ,1 ,2 ,5.2 ,2.0 ,B,3.05 ,
5,L-BAL42P,586592,588590,1.556715 ,1.562216 ,1.568060 ,1.573111 ,1.574748 ,1.577565 ,1.579468 ,1.581199 ,1.582917 ,1.583397 ,1.583845 ,1.585842 ,1.585930 ,1.588288 ,1.592807 ,1.593369 ,1.597462 ,1.598172 ,1.602623 ,1.610198 ,59.2 ,59.0 ,59.24 ,58.99 ,0.00989 ,0.009890 ,0.009972 ,0.008169 ,0.003449 ,0.003013 ,0.005371 ,0.012242 ,0.005365 ,0.004451 ,0.012026 ,0.008649 ,0.004891 ,0.005081 ,0.016829 ,0.8260 ,0.3487 ,0.3047 ,0.5431 ,1.2378 ,0.5425 ,0.4501 ,1.2160 ,0.8673 ,0.4905 ,0.5095 ,1.6876 ,0.0014 ,0.0010 ,-0.0039 ,-0.0031 ,-0.0130 ,8.81090017E-01,5.95038859E-01,1.22582098E+00,1.48496655E-02,1.63577371E-03,1.25113720E+02,,,,,,,340 ,,285 ,326 ,282 ,0.00 ,0.17 ,0.14 ,0.030 ,0.140 ,0.320 ,0.550 ,0.730 ,0.850 ,0.924 ,0.960 ,0.978 ,0.987 ,0.992 ,0.994 ,0.995 ,0.996 ,0.996 ,0.996 ,0.998 ,0.998 ,0.999 ,0.999 ,0.998 ,0.999 ,0.999 ,0.999 ,0.999 ,0.999 ,0.988 ,0.993 ,0.983 ,0.968 ,0.901 ,0.830 ,3.3 ,3.2 ,3.1 ,3.1 ,3.1 ,3.2 ,3.7 ,3.6 ,3.6 ,3.5 ,3.6 ,3.7 ,3.7 ,3.6 ,3.6 ,3.6 ,3.6 ,3.7 ,3.8 ,3.8 ,3.7 ,3.7 ,3.7 ,3.8 ,4.0 ,3.9 ,3.9 ,3.9 ,3.9 ,4.0 ,4.3 ,4.3 ,4.2 ,4.2 ,4.3 ,4.4 ,4.6 ,4.6 ,4.6 ,4.6 ,4.6 ,4.8 ,2.46E-06,9.17E-09,-3.83E-11,4.68E-07,4.90E-10,2.10E-01,467 ,494 ,506 ,538 ,607 ,72 ,88 ,1.028 ,891 ,357 ,0.247 ,590 ,6 ,113 ,2.19 ,1 ,3 ,1 ,2 ,5.2 ,2.0 ,B,3.05 ,
6,L-BAL43,586597,588594,1.556205 ,1.561848 ,1.567815 ,1.572932 ,1.574580 ,1.577403 ,1.579302 ,1.581027 ,1.582737 ,1.583214 ,1.583659 ,1.585642 ,1.585730 ,1.588070 ,1.592549 ,1.593106 ,1.597158 ,1.597862 ,1.602266 ,1.609762 ,59.7 ,59.4 ,59.70 ,59.45 ,0.00981 ,0.009812 ,0.009892 ,0.008157 ,0.003435 ,0.002993 ,0.005333 ,0.012132 ,0.005313 ,0.004404 ,0.011900 ,0.008634 ,0.004856 ,0.005036 ,0.016656 ,0.8313 ,0.3501 ,0.3050 ,0.5435 ,1.2364 ,0.5415 ,0.4488 ,1.2128 ,0.8728 ,0.4909 ,0.5091 ,1.6838 ,0.0045 ,0.0019 ,-0.0043 ,-0.0034 ,-0.0123 ,1.04745291E+00,4.28452873E-01,1.14111303E+00,5.63209756E-03,1.88321416E-02,1.14197069E+02,,,,,,,340 ,,285 ,328 ,289 ,0.00 ,0.10 ,0.10 ,,,0.290 ,0.510 ,0.700 ,0.830 ,0.906 ,0.949 ,0.971 ,0.983 ,0.988 ,0.990 ,0.996 ,0.997 ,0.996 ,0.998 ,0.999 ,0.999 ,0.999 ,0.999 ,0.999 ,0.999 ,0.999 ,0.999 ,0.999 ,0.999 ,0.993 ,0.997 ,0.988 ,0.975 ,0.914 ,0.840 ,3.2 ,3.1 ,3.1 ,3.0 ,3.0 ,3.2 ,3.5 ,3.5 ,3.5 ,3.5 ,3.5 ,3.6 ,3.6 ,3.6 ,3.6 ,3.5 ,3.5 ,3.7 ,3.7 ,3.7 ,3.7 ,3.6 ,3.6 ,3.8 ,3.8 ,3.8 ,3.8 ,3.8 ,3.8 ,4.0 ,4.1 ,4.2 ,4.2 ,4.1 ,4.2 ,4.4 ,4.5 ,4.5 ,4.5 ,4.5 ,4.6 ,4.7 ,3.03E-06,9.62E-09,-1.13E-11,4.90E-07,5.73E-10,1.99E-01,451 ,482 ,493 ,535 ,596 ,72 ,90 ,1.028 ,904 ,362 ,0.250 ,610 ,6 ,115 ,2.18 ,1 ,3 ,3 ,,51.4 ,2.0 ,,3.05 ,
7,L-TIM28,689310,695308,1.646320 ,1.651893 ,1.658323 ,1.665004 ,1.667564 ,1.672455 ,1.676053 ,1.679489 ,1.683026 ,1.684034 ,1.684982 ,1.689287 ,1.689480 ,1.694731 ,1.705251 ,1.706603 ,1.716740 ,1.718556 ,1.730345 ,,31.0 ,30.8 ,31.02 ,30.78 ,0.02222 ,0.022225 ,0.022569 ,0.015462 ,0.006973 ,0.006454 ,0.011705 ,0.029076 ,0.013305 ,0.011789 ,,0.016470 ,0.010697 ,0.011872 ,,0.6957 ,0.3137 ,0.2904 ,0.5267 ,1.3083 ,0.5987 ,0.5304 ,,0.7298 ,0.4740 ,0.5260 ,,0.0035 ,0.0003 ,0.0080 ,0.0074 ,,1.52780829E+00,2.32776367E-01,1.71638781E+00,1.14135883E-02,5.59068566E-02,1.71511800E+02,,,,,,,400 ,,355 ,379 ,352 ,0.00 ,1.29 ,1.27 ,,,,,,,,0.010 ,0.210 ,0.600 ,0.820 ,0.903 ,0.940 ,0.969 ,0.979 ,0.984 ,0.988 ,0.991 ,0.997 ,0.996 ,0.995 ,0.997 ,0.999 ,0.999 ,0.999 ,0.999 ,0.998 ,0.995 ,0.980 ,0.962 ,0.927 ,0.890 ,-1.1 ,-1.1 ,-1.2 ,-1.3 ,-1.4 ,-1.4 ,-0.2 ,-0.3 ,-0.3 ,-0.4 ,-0.4 ,-0.4 ,-0.2 ,-0.2 ,-0.2 ,-0.3 ,-0.3 ,-0.3 ,0.1 ,0.1 ,0.1 ,0.0 ,0.0 ,0.1 ,0.5 ,0.5 ,0.5 ,0.5 ,0.5 ,0.5 ,1.4 ,1.4 ,1.5 ,1.5 ,1.6 ,1.7 ,2.4 ,2.5 ,2.7 ,2.7 ,2.9 ,3.0 ,-6.17E-06,5.70E-09,-3.80E-11,9.99E-07,1.21E-09,2.60E-01,453 ,484 ,504 ,539 ,582 ,101 ,130 ,1.020 ,845 ,337 ,0.254 ,530 ,5 ,197 ,2.62 ,1 ,1 ,1 ,2 ,1.0 ,1.0 ,B,2.88 ,
8,L-TIM28P,695307,700304,1.650994 ,1.656529 ,1.662941 ,1.669656 ,1.672244 ,1.677203 ,1.680859 ,1.684355 ,1.687955 ,1.688981 ,1.689948 ,1.694333 ,1.694530 ,1.699883 ,1.710611 ,1.711990 ,1.722334 ,1.724187 ,1.736219 ,,30.7 ,30.4 ,30.66 ,30.42 ,0.02265 ,0.022656 ,0.023009 ,0.015711 ,0.007096 ,0.006575 ,0.011928 ,0.029657 ,0.013576 ,0.012032 ,,0.016737 ,0.010902 ,0.012107 ,,0.6935 ,0.3132 ,0.2902 ,0.5265 ,1.3090 ,0.5992 ,0.5311 ,,0.7274 ,0.4738 ,0.5262 ,,0.0030 ,0.0002 ,0.0080 ,0.0073 ,,1.53013396E+00,2.45362280E-01,1.78233031E+00,1.14236857E-02,5.55101852E-02,1.79074300E+02,,,,,,,400 ,,355 ,379 ,352 ,0.00 ,1.29 ,1.27 ,,,,,,,,0.010 ,0.210 ,0.600 ,0.820 ,0.903 ,0.940 ,0.969 ,0.979 ,0.984 ,0.988 ,0.991 ,0.997 ,0.996 ,0.995 ,0.997 ,0.999 ,0.999 ,0.999 ,0.999 ,0.998 ,0.995 ,0.980 ,0.962 ,0.927 ,0.890 ,-1.1 ,-1.1 ,-1.2 ,-1.3 ,-1.4 ,-1.4 ,-0.2 ,-0.3 ,-0.3 ,-0.4 ,-0.4 ,-0.4 ,-0.2 ,-0.2 ,-0.2 ,-0.3 ,-0.3 ,-0.3 ,0.1 ,0.1 ,0.1 ,0.0 ,0.0 ,0.1 ,0.5 ,0.5 ,0.5 ,0.5 ,0.5 ,0.5 ,1.4 ,1.4 ,1.5 ,1.5 ,1.6 ,1.7 ,2.4 ,2.5 ,2.7 ,2.7 ,2.9 ,3.0 ,-6.17E-06,5.70E-09,-3.80E-11,9.99E-07,1.21E-09,2.60E-01,453 ,484 ,504 ,539 ,582 ,101 ,130 ,1.02 ,845 ,337 ,0.254 ,530 ,5 ,197 ,2.62 ,1 ,1 ,1 ,2 ,1.0 ,1.0 ,B,2.88 ,
9,L-LAL13,694532,697529,1.657373 ,1.663920 ,1.670887 ,1.677023 ,1.679061 ,1.682627 ,1.685070 ,1.687312 ,1.689551 ,1.690178 ,1.690765 ,1.693384 ,1.693500 ,1.696607 ,1.702591 ,1.703338 ,1.708790 ,1.709739 ,1.715701 ,1.725918 ,53.2 ,52.9 ,53.18 ,52.93 ,0.01304 ,0.013040 ,0.013160 ,0.010490 ,0.004481 ,0.003949 ,0.007056 ,0.016239 ,0.007148 ,0.005962 ,0.016179 ,0.011117 ,0.006429 ,0.006731 ,0.022580 ,0.8044 ,0.3436 ,0.3028 ,0.5411 ,1.2453 ,0.5482 ,0.4572 ,1.2407 ,0.8448 ,0.4885 ,0.5115 ,1.7158 ,0.0082 ,0.0033 ,-0.0090 ,-0.0072 ,-0.0390 ,1.17776146E+00,6.34591345E-01,1.20435649E+00,5.57618243E-03,2.06821469E-02,9.96322776E+01,,,,,,,360 ,,285 ,346 ,288 ,0.00 ,0.35 ,0.32 ,0.010 ,0.060 ,0.150 ,0.280 ,0.450 ,0.610 ,0.740 ,0.840 ,0.913 ,0.949 ,0.969 ,0.979 ,0.984 ,0.989 ,0.991 ,0.993 ,0.995 ,0.997 ,0.998 ,0.997 ,0.997 ,0.998 ,0.999 ,0.999 ,0.999 ,0.999 ,0.996 ,0.995 ,0.988 ,0.969 ,0.918 ,0.720 ,2.5 ,2.5 ,2.5 ,2.5 ,2.5 ,2.5 ,3.0 ,3.0 ,3.0 ,3.1 ,3.1 ,3.1 ,3.0 ,3.0 ,3.1 ,3.1 ,3.1 ,3.2 ,3.1 ,3.2 ,3.2 ,3.3 ,3.3 ,3.3 ,3.3 ,3.4 ,3.4 ,3.5 ,3.5 ,3.6 ,3.8 ,3.8 ,3.9 ,4.0 ,4.0 ,4.1 ,4.2 ,4.3 ,4.3 ,4.4 ,4.5 ,4.6 ,1.27E-06,9.45E-09,-3.49E-11,5.82E-07,6.14E-10,1.92E-01,503 ,522 ,534 ,575 ,615 ,76 ,92 ,0.887 ,1078 ,419 ,0.285 ,620 ,6 ,115 ,1.91 ,1 ,4 ,2 ,,53.2 ,4.0 ,,3.69 ,
