"Sumita Optical Glass,Inc.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005.04.28,,,,,,Refractive Indices,,,,,,,,,,,,,,Partial Dispersions and Relative Partial Dispersions,,,,,,,,,,,,,,,,,,,,,,,,Constants of Dispersion Formula,,,,,,Deviation of Relative Partial Dispersions,,,,,Knoop Hardness,Rank,Vickers Hardness,Abrasion,Young's Modulus,Modulus of Rigidity,Poisson Ratio,Transformation Point,Yielding Point,Thermal Expansion at Normal Temperture,Thermal Expansion,Water Resistance,Acid Resistance,Weather Resistance,Bubble,Color-Degree,,,Specific Gravity,Striae,Internal Transmittance  10mm,,,,,,,,,,,,,,,,,,,,,,,,,,,Internal Transmittance  25mm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GTYPE,GNAME,vd,ve,nF-nC,nF'-nC',nt,nA',nr,nC,nC',nD,nd,ne,nF,nF',ng,nG',nh,ni,nC-nt,nC-nA',nd-nC,ne-nC,Ct,CA',dC,eC,ng-nd,ng-nF,nh-ng,ni-ng,gd,gF,hg,ig,nC'-nt,ne-nC',nF'-ne,ni-nF',C't,eC',F'e,iF',A0,A1,A2,A3,A4,A5,DCt,DCAA,Dgd,DgF,Dig,HK,HKL,HV,Ha,E,G,PO,Tg,At,a-30~+70,a+100~+300,RW,RA,DW,B,C80,C70,C05,SG,S,T27010,T28010,T29010,T30010,T31010,T32010,T33010,T34010,T35010,T36010,T37010,T38010,T39010,T40010,T42010,T44010,T46010,T48010,T50010,T55010,T60010,T65010,T70010,T80010,T106010,T150010,T200010,T27025,T28025,T29025,T30025,T31025,T32025,T33025,T34025,T35025,T36025,T37025,T38025,T39025,T40025,T42025,T44025,T46025,T48025,T50025,T55025,T60025,T65025,T70025,T80025,T106025,T150025,T200025,Remarks,PG,solarization,Remarks2,Schott,Schoot's Gtype,OHARA,OHARA's Gtype,HOYA,HOYA's Gtype
434950,K-CaFK95,95,94.4,0.00457,0.00461,1.42898,1.43121,1.43203,1.43285,1.43308,1.43422,1.43425,1.43535,1.43742,1.43769,1.43986,1.43997,1.44187,1.44523,0.00387,0.00164,0.0014,0.0025,0.847,0.359,0.306,0.547,0.00561,0.00244,0.00201,0.00537,1.228,0.534,0.44,1.175,0.0041,0.00227,0.00234,0.00754,0.889,0.492,0.508,1.636,2.0390129,-0.0036337186,0.007096194,-0.00024252386,3.8875462E-05,-1.8511401E-06,-0.1427,-0.0301,0.055,0.0385,0.2215,331,3,348,500,718,279,0.287,431,450,129,167,2,4,1,BB,33,,28,3.54,,0.021,0.06,0.158,0.329,0.541,0.734,0.861,0.933,0.97,0.984,0.994,0.997,0.998,0.998,0.998,0.998,0.998,0.998,0.998,0.998,0.998,0.998,0.998,0.998,0.998,0.997,0.991,0,0,0,0.062,0.215,0.462,0.689,0.842,0.927,0.961,0.985,0.992,0.996,0.996,0.996,0.996,0.996,0.996,0.996,0.996,0.996,0.996,0.996,0.996,0.996,0.992,0.978,,Optical Glass for Precision Molding,,,,,S-FPL 53,439950,,
486852,K-PFK85,85.2,84.7,0.0057,0.00575,1.47924,1.48191,1.4829,1.48389,1.48417,1.48558,1.48563,1.48699,1.48959,1.48992,1.49266,0,1.49519,1.49945,0.00465,0.00198,0.00174,0.0031,0.816,0.347,0.305,0.544,0.00703,0.00307,0.00253,0.00679,1.233,0.539,0.444,1.191,0.00493,0.00282,0.00293,0.00953,0.857,0.49,0.51,1.657,2.1853008,-0.0047250328,0.0078421625,8.5834419E-05,-5.3779209E-07,6.6797559E-08,-0.1279,-0.0303,0.0412,0.0286,0.1615,338,3,327,470,691,264,0.306,452,484,129,163,1,1,1,BB,34,,29,3.97,,0,0.026,0.084,0.212,0.376,0.625,0.791,0.891,0.947,0.974,0.978,0.99,0.992,0.995,0.995,0.995,0.995,0.997,0.998,0.998,0.998,0.998,0.998,0.998,0.998,0.998,0.998,0,0,0,0.02,0.087,0.309,0.557,0.751,0.874,0.937,0.947,0.975,0.982,0.989,0.989,0.989,0.989,0.992,0.996,0.996,0.996,0.996,0.996,0.996,0.996,0.996,0.996,,Optical Glass for Precision Molding,,,,,,,,
497815,K-PFK80,81.5,80.9,0.0061,0.00616,1.49007,1.49299,1.49406,1.49514,1.49543,1.49694,1.497,1.49845,1.50124,1.50159,1.50452,0,1.50722,1.51178,0.00507,0.00215,0.00186,0.00331,0.831,0.352,0.305,0.543,0.00752,0.00328,0.0027,0.00726,1.233,0.538,0.443,1.19,0.00536,0.00302,0.00314,0.01019,0.87,0.49,0.51,1.654,2.2181634,-0.0057886349,0.0081751097,0.00016259171,-1.0026576E-05,5.6977013E-07,-0.0952,-0.0209,0.0332,0.0222,0.1316,354,4,312,450,796,309,0.287,461,483,134,154,1,3,1,B,34,,27,3.6,,0.057,0.14,0.28,0.463,0.647,0.796,0.89,0.941,0.968,0.981,0.988,0.991,0.994,0.994,0.995,0.995,0.997,0.997,0.998,0.998,0.998,0.998,0.998,0.998,0.998,0.998,0.998,0,0,0.041,0.146,0.337,0.566,0.748,0.861,0.923,0.954,0.971,0.978,0.985,0.985,0.989,0.989,0.992,0.992,0.996,0.996,0.996,0.996,0.996,0.996,0.996,0.996,0.996,,Optical Glass for Precision Molding,,,N-PK 52A,497816,S-FPL 51,497816,FCD 1,497816
569713,K-GFK70,71.3,70.9,0.00798,0.00805,1.56038,1.56395,1.5653,1.56666,1.56705,1.569,1.56907,1.57098,1.57464,1.5751,1.57899,0,1.58258,1.58864,0.00628,0.00271,0.00241,0.00432,0.787,0.34,0.302,0.541,0.00992,0.00435,0.00359,0.00965,1.243,0.545,0.45,1.209,0.00667,0.00393,0.00412,0.01354,0.829,0.488,0.512,1.682,2.4305666,-0.0063501751,0.010708199,0.00037642062,-2.605904E-05,1.1027285E-06,-0.0919,-0.022,0.0233,0.0145,0.0719,332,3,352,620,663,256,0.295,485,509,132,156,1,1,1,B,34,,28,4.46,,0,0.029,0.1,0.225,0.358,0.625,0.782,0.882,0.94,0.968,0.981,0.988,0.99,0.992,0.992,0.992,0.992,0.992,0.994,0.997,0.997,0.998,0.998,0.998,0.998,0.998,0.998,0,0,0,0.024,0.077,0.309,0.541,0.73,0.857,0.923,0.954,0.971,0.975,0.982,0.982,0.982,0.982,0.982,0.985,0.992,0.992,0.996,0.996,0.996,0.996,0.996,0.996,,Optical Glass for Precision Molding,,,,,,,,
592683,K-GFK68,68.3,68,0.00867,0.00874,1.58301,1.58684,1.5883,1.58978,1.5902,1.59232,1.5924,1.59446,1.59845,1.59894,1.60318,0,1.6071,1.61375,0.00677,0.00294,0.00262,0.00468,0.781,0.339,0.302,0.54,0.01078,0.00473,0.00392,0.01057,1.243,0.546,0.452,1.219,0.00719,0.00426,0.00448,0.01481,0.823,0.487,0.513,1.695,2.4998338,-0.006118952,0.012513487,0.00022374985,-5.4349382E-06,2.9740284E-07,-0.0841,-0.0191,0.0176,0.0105,0.0586,368,4,390,540,683,261,0.308,512,536,129,152,1,1,1,B,34,,28,4.51,,0,0.179,0.255,0.376,0.384,0.69,0.819,0.901,0.953,0.978,0.99,0.995,0.997,0.997,0.997,0.997,0.997,0.997,0.997,0.998,0.998,0.998,0.998,0.998,0.992,0.988,0.982,0,0.013,0.033,0.087,0.091,0.396,0.608,0.771,0.887,0.947,0.975,0.989,0.992,0.992,0.992,0.992,0.992,0.992,0.992,0.996,0.996,0.996,0.996,0.996,0.982,0.971,0.957,,Optical Glass for Precision Molding,,,,,,,,
487704,K-FK5,70.4,70.2,0.00692,0.00697,1.47913,1.48282,1.4841,1.48535,1.48569,1.48743,1.48749,1.48914,1.49227,1.49266,1.49593,0,1.49894,1.50401,0.00622,0.00253,0.00214,0.00379,0.899,0.366,0.309,0.548,0.00844,0.00366,0.00301,0.00808,1.22,0.529,0.435,1.168,0.00656,0.00345,0.00352,0.01135,0.941,0.495,0.505,1.628,2.1889681,-0.009646703,0.0088503901,0.00018716795,-1.0785912E-05,6.1564212E-07,0.024,0.005,-0.0019,-0.003,0.0235,531,5,582,110,605,244,0.241,465,545,88,98,4,5,2,,29,,26,2.45,,0.324,0.625,0.833,0.929,0.968,0.977,0.982,0.985,0.988,0.99,0.99,0.99,0.99,0.99,0.991,0.991,0.991,0.991,0.991,0.994,0.995,0.995,0.997,0.998,0.998,0.978,0.968,0.06,0.309,0.633,0.832,0.923,0.944,0.957,0.964,0.971,0.975,0.975,0.975,0.975,0.975,0.978,0.978,0.978,0.978,0.978,0.985,0.989,0.989,0.992,0.996,0.996,0.947,0.923,Schott Type,,,,N-FK 5,487704,S-FSL 5,487702,FC 5,487704
618634,K-PSKn2,63.4,63,0.00975,0.00984,1.60691,1.61163,1.61334,1.61503,1.6155,1.61791,1.618,1.62033,1.62478,1.62534,1.63007,0,1.63444,1.64186,0.00812,0.0034,0.00297,0.0053,0.833,0.349,0.305,0.544,0.01207,0.00529,0.00437,0.01179,1.238,0.543,0.448,1.209,0.00859,0.00483,0.00501,0.01652,0.873,0.491,0.509,1.679,2.5811516,-0.011534491,0.012703918,0.00058195394,-4.4244275E-05,2.1000343E-06,-0.0091,-0.0037,0.0023,0.0001,0.0104,407,4,429,270,769,298,0.289,624,655,79,99,1,5,1,,38,,32,3.63,,0,0,0,0,0.027,0.1,0.232,0.431,0.619,0.772,0.869,0.923,0.957,0.971,0.985,0.988,0.99,0.99,0.991,0.994,0.995,0.997,0.997,0.998,0.998,0.998,0.982,0,0,0,0,0,0.003,0.026,0.122,0.301,0.525,0.705,0.82,0.896,0.93,0.964,0.971,0.975,0.975,0.978,0.985,0.989,0.992,0.992,0.996,0.996,0.996,0.957,Schott Type,,,,N-PSK 53,620635,S-PHM 52,618634,PCD 4,618634
516641,K-BK7,64.1,63.8,0.00806,0.00812,1.50686,1.51097,1.51242,1.51385,1.51425,1.51626,1.51633,1.51825,1.52191,1.52237,1.52622,0,1.52978,1.53584,0.00699,0.00288,0.00248,0.0044,0.867,0.357,0.308,0.546,0.00989,0.00431,0.00356,0.00962,1.227,0.535,0.442,1.194,0.00739,0.004,0.00412,0.01347,0.91,0.493,0.507,1.659,2.2704549,-0.0099748327,0.010468377,0.0002797425,-2.1706023E-05,1.4265697E-06,0.0222,0.0041,-0.0073,-0.0067,-0.0001,589,6,587,100,799,330,0.209,572,630,63,85,2,1,1,,34,,29,2.52,,0,0,0.024,0.158,0.414,0.65,0.806,0.894,0.94,0.964,0.971,0.974,0.982,0.988,0.988,0.988,0.99,0.99,0.992,0.995,0.997,0.997,0.998,0.998,0.998,0.991,0.929,0,0,0,0,0.11,0.341,0.583,0.756,0.857,0.913,0.93,0.937,0.957,0.971,0.971,0.971,0.975,0.975,0.982,0.989,0.992,0.992,0.996,0.996,0.996,0.978,0.832,Schott Type,,,,N-BK 7,517642,S-BSL 7,516641,BSC 7,517642
613586,K-SK4,58.6,58.3,0.01046,0.01055,1.60107,1.60592,1.60773,1.60954,1.61005,1.61263,1.61272,1.61521,1.62,1.6206,1.6257,0,1.63044,1.63849,0.00847,0.00362,0.00318,0.00567,0.81,0.346,0.304,0.542,0.01298,0.0057,0.00474,0.01279,1.241,0.545,0.453,1.223,0.00898,0.00516,0.00539,0.01789,0.851,0.489,0.511,1.696,2.5564282,-0.0086472663,0.016443872,-0.00016346553,5.5351445E-05,-2.596736E-06,-0.0097,-0.0008,-0.0043,-0.0047,-0.0134,570,6,533,140,811,320,0.268,660,708,61,76,1,4,2,,34,,29,3.58,,0,0.022,0.122,0.329,0.54,0.708,0.829,0.901,0.943,0.965,0.978,0.985,0.988,0.991,0.991,0.991,0.995,0.995,0.997,0.997,0.998,0.998,0.998,0.998,0.998,0.998,0.971,0,0,0,0.062,0.214,0.423,0.625,0.771,0.864,0.916,0.947,0.964,0.971,0.978,0.978,0.978,0.989,0.989,0.992,0.992,0.996,0.996,0.996,0.996,0.996,0.996,0.93,Schott Type,,,,N-SK 4,613586,S-BSM 4,613587,BACD 4,613586
589612,K-SK5,61.2,61,0.00962,0.00969,1.57814,1.58281,1.58451,1.58619,1.58666,1.58905,1.58913,1.59143,1.59581,1.59635,1.601,0,1.6053,1.61264,0.00805,0.00338,0.00294,0.00524,0.837,0.351,0.306,0.545,0.01187,0.00519,0.0043,0.01164,1.234,0.54,0.447,1.21,0.00852,0.00477,0.00492,0.01629,0.879,0.492,0.508,1.681,2.4873879,-0.010162672,0.013795821,0.00018007148,-2.1305493E-06,5.629257E-07,0.0049,0.0014,-0.006,-0.0061,-0.0055,661,7,698,110,841,336,0.252,667,700,54,67,2,4,1,,34,,29,3.32,,0,0.058,0.12,0.284,0.498,0.678,0.806,0.889,0.937,0.963,0.978,0.987,0.992,0.992,0.993,0.993,0.993,0.993,0.995,0.995,0.995,0.995,0.997,0.998,0.998,0.998,0.979,0,0,0.004,0.043,0.175,0.378,0.584,0.747,0.85,0.912,0.947,0.968,0.98,0.98,0.984,0.984,0.984,0.984,0.989,0.989,0.989,0.989,0.994,0.996,0.996,0.995,0.949,Schott Type,,,,N-SK 5,589613,S-BAL 35,589612,BACD 5,589613
