 SURF#,RADIUS,THICKNESS,GLASS NAME
  0,  0.000000000000000D+00,  0.100000000018004D+21,AIR          
  1,  0.000000000000000D+00,  0.000000000000000D+00,AIR          
  2,  0.409400029374452D+02,  0.873999920000000D+01,SSK4         
  3,  0.000000000000000D+00,  0.110499992000000D+02,AIR          
  4, -0.556499982400688D+02,  0.278000000000000D+01,SF2          
  5,  0.397500003229688D+02,  0.100000000000000D+01,AIR          
  6,  0.000000000000000D+00,  0.663000040000000D+01,AIR          
  7,  0.107560005575911D+03,  0.954000000000000D+01,SSK4         
  8, -0.433299969235702D+02,  0.787390000000000D+02,AIR          
  9,  0.000000000000000D+00,  0.000000000000000D+00,AIR          
 10,  0.000000000000000D+00,  0.000000000000000D+00,LAST SURFACE 
